image_id,identity,path,bbox,date,orientation,segmentation,species,rarity_class
1045,e91455e2-1c59-4e24-ae02-de0cccf6c9eb,leopard.coco/images/train2022/000000001046.jpg,"[277, 68, 2116, 1853]",,front,,leopard,common
1046,e91455e2-1c59-4e24-ae02-de0cccf6c9eb,leopard.coco/images/train2022/000000001047.jpg,"[0, 15, 2088, 1905]",,right,,leopard,common
1804,e91455e2-1c59-4e24-ae02-de0cccf6c9eb,leopard.coco/images/train2022/000000001801.jpg,"[333, 509, 805, 1658]",,front,,leopard,common
1801,e91455e2-1c59-4e24-ae02-de0cccf6c9eb,leopard.coco/images/train2022/000000001798.jpg,"[102, 102, 2263, 1819]",,left,,leopard,common
3556,e954fd06-34b9-442f-99da-833d701216ec,leopard.coco/images/train2022/000000003544.jpg,"[592, 332, 995, 631]",,right,,leopard,abundant
3554,e954fd06-34b9-442f-99da-833d701216ec,leopard.coco/images/train2022/000000003542.jpg,"[598, 320, 962, 638]",,right,,leopard,abundant
3545,e954fd06-34b9-442f-99da-833d701216ec,leopard.coco/images/train2022/000000003533.jpg,"[194, 349, 1244, 744]",,left,,leopard,abundant
3553,e954fd06-34b9-442f-99da-833d701216ec,leopard.coco/images/train2022/000000003541.jpg,"[659, 367, 1012, 612]",,left,,leopard,abundant
3550,e954fd06-34b9-442f-99da-833d701216ec,leopard.coco/images/train2022/000000003538.jpg,"[0, 402, 1046, 791]",,right,,leopard,abundant
3547,e954fd06-34b9-442f-99da-833d701216ec,leopard.coco/images/train2022/000000003535.jpg,"[1817, 234, 583, 878]",,left,,leopard,abundant
3546,e954fd06-34b9-442f-99da-833d701216ec,leopard.coco/images/train2022/000000003534.jpg,"[540, 400, 1084, 571]",,back,,leopard,abundant
3557,e954fd06-34b9-442f-99da-833d701216ec,leopard.coco/images/train2022/000000003545.jpg,"[2, 399, 1000, 948]",,left,,leopard,abundant
3549,e954fd06-34b9-442f-99da-833d701216ec,leopard.coco/images/train2022/000000003537.jpg,"[0, 311, 688, 857]",,right,,leopard,abundant
3552,e954fd06-34b9-442f-99da-833d701216ec,leopard.coco/images/train2022/000000003540.jpg,"[546, 383, 1062, 635]",,right,,leopard,abundant
148,ad886592-f2e1-4a83-84dd-aa9ca3b8763c,leopard.coco/images/train2022/000000000149.jpg,"[580, 219, 1820, 1242]",,left,,leopard,abundant
145,ad886592-f2e1-4a83-84dd-aa9ca3b8763c,leopard.coco/images/train2022/000000000146.jpg,"[682, 661, 1698, 524]",,left,,leopard,abundant
144,ad886592-f2e1-4a83-84dd-aa9ca3b8763c,leopard.coco/images/train2022/000000000145.jpg,"[851, 440, 1549, 686]",,left,,leopard,abundant
155,ad886592-f2e1-4a83-84dd-aa9ca3b8763c,leopard.coco/images/train2022/000000000156.jpg,"[912, 764, 980, 462]",,left,,leopard,abundant
133,ad886592-f2e1-4a83-84dd-aa9ca3b8763c,leopard.coco/images/train2022/000000000134.jpg,"[828, 644, 776, 518]",,right,,leopard,abundant
141,ad886592-f2e1-4a83-84dd-aa9ca3b8763c,leopard.coco/images/train2022/000000000142.jpg,"[622, 430, 1003, 525]",,right,,leopard,abundant
166,ad886592-f2e1-4a83-84dd-aa9ca3b8763c,leopard.coco/images/train2022/000000000167.jpg,"[992, 714, 287, 332]",,back,,leopard,abundant
156,ad886592-f2e1-4a83-84dd-aa9ca3b8763c,leopard.coco/images/train2022/000000000157.jpg,"[1069, 630, 669, 702]",,back,,leopard,abundant
168,ad886592-f2e1-4a83-84dd-aa9ca3b8763c,leopard.coco/images/train2022/000000000169.jpg,"[311, 604, 1796, 1089]",,right,,leopard,abundant
135,ad886592-f2e1-4a83-84dd-aa9ca3b8763c,leopard.coco/images/train2022/000000000136.jpg,"[785, 565, 767, 358]",,right,,leopard,abundant
154,ad886592-f2e1-4a83-84dd-aa9ca3b8763c,leopard.coco/images/train2022/000000000155.jpg,"[1061, 719, 1104, 598]",,left,,leopard,abundant
