image_id,identity,path,bbox,date,orientation,segmentation,species,rarity_class
2181,ef22f161-9923-4e3a-adc5-d315576c157c,leopard.coco/images/train2022/000000002175.jpg,"[795, 825, 690, 351]",,left,,leopard,rare
6176,3db15604-e774-4cce-a094-e5e4a5d24725,leopard.coco/images/train2022/000000006162.jpg,"[0, 98, 2126, 1820]",,right,,leopard,rare
4748,ab07eaed-765a-4faa-b4ce-43992596395a,leopard.coco/images/train2022/000000004735.jpg,"[534, 378, 865, 546]",,right,,leopard,common
3051,f1120b0e-e58a-4b04-96a9-2351cba3546a,leopard.coco/images/train2022/000000003040.jpg,"[13, 674, 1267, 534]",,right,,leopard,abundant
6642,c3a937f1-f565-46c5-affb-4f6070efc3e0,leopard.coco/images/train2022/000000006617.jpg,"[565, 243, 859, 921]",,right,,leopard,abundant
2711,8b1b355c-caac-4e10-8135-0f5132c70f47,leopard.coco/images/train2022/000000002701.jpg,"[1090, 835, 336, 151]",,,,leopard,common
5617,f54eeeb1-cab5-454a-adf3-fcd8c4a2b4a5,leopard.coco/images/train2022/000000005604.jpg,"[149, 665, 892, 404]",,left,,leopard,abundant
3153,f6195900-8fc6-4d89-a37c-f82a956d1086,leopard.coco/images/train2022/000000003141.jpg,"[1831, 631, 569, 523]",,left,,leopard,abundant
2083,277d5b22-d689-48fc-9d02-ba9a3a39b322,leopard.coco/images/train2022/000000002078.jpg,"[894, 620, 1229, 562]",,left,,leopard,common
6258,5d4eb46f-f5f8-418f-bbf9-00007edae5c8,leopard.coco/images/train2022/000000006244.jpg,"[17, 174, 2383, 1085]",,left,,leopard,abundant
6228,d2e54dbb-5353-463a-8db3-749139ad6409,leopard.coco/images/train2022/000000006214.jpg,"[753, 22, 1013, 1374]",,left,,leopard,common
5043,a1d0fd59-883e-4e53-a313-6264f2f247fa,leopard.coco/images/train2022/000000005030.jpg,"[1396, 757, 467, 331]",,left,,leopard,abundant
2390,1c938299-6ff9-4d8b-aaeb-4f8d372093c2,leopard.coco/images/train2022/000000002384.jpg,"[1079, 711, 864, 812]",,back,,leopard,abundant
6180,5c4148f1-d035-4c6f-acf9-702c84d906fc,leopard.coco/images/train2022/000000006166.jpg,"[349, 128, 1588, 1255]",,right,,leopard,common
247,fe41dc85-e196-4e03-9cd2-156a49feaac4,leopard.coco/images/train2022/000000000248.jpg,"[709, 507, 961, 655]",,left,,leopard,common
1795,72d1db85-7b88-402f-9326-29fb6f692dda,leopard.coco/images/train2022/000000001792.jpg,"[97, 141, 2299, 1808]",,front,,leopard,abundant
1929,8a3563e1-e39f-4158-b4c5-3c7685f09bcb,leopard.coco/images/train2022/000000001924.jpg,"[1568, 758, 832, 606]",,left,,leopard,abundant
5271,6948d96b-0b5c-422b-a65d-e5098b613b81,leopard.coco/images/train2022/000000005258.jpg,"[571, 32, 1008, 1032]",,right,,leopard,abundant
6806,559a4a0f-4fa5-46f6-af56-f7aa36bf35dd,leopard.coco/images/train2022/000000006777.jpg,"[1116, 382, 444, 1218]",,right,,leopard,abundant
