image_id,identity,path,bbox,date,orientation,segmentation,species,rarity_class
6041,9fe80e80-aa35-43e2-96c7-74335517fb74,leopard.coco/images/train2022/000000006027.jpg,"[0, 0, 2400, 1923]",,front,,leopard,rare
6224,9fe80e80-aa35-43e2-96c7-74335517fb74,leopard.coco/images/train2022/000000006210.jpg,"[0, 88, 2400, 1826]",,left,,leopard,rare
6365,14a1f572-2a8a-4f98-b740-0d6fb9b458e6,leopard.coco/images/train2022/000000006350.jpg,"[117, 392, 1763, 1682]",,front,,leopard,rare
6421,14a1f572-2a8a-4f98-b740-0d6fb9b458e6,leopard.coco/images/train2022/000000006406.jpg,"[14, 442, 1795, 1947]",,right,,leopard,rare
3101,fb1ee710-dcba-4201-b8b1-4fa5412ad5ad,leopard.coco/images/train2022/000000003089.jpg,"[0, 847, 1222, 937]",,right,,leopard,rare
3107,fb1ee710-dcba-4201-b8b1-4fa5412ad5ad,leopard.coco/images/train2022/000000003095.jpg,"[0, 675, 614, 522]",,right,,leopard,rare
6046,809104ee-efb2-4e01-93b5-368340f145e8,leopard.coco/images/train2022/000000006032.jpg,"[28, 85, 2372, 1833]",,front,,leopard,rare
6275,809104ee-efb2-4e01-93b5-368340f145e8,leopard.coco/images/train2022/000000006261.jpg,"[0, 115, 2364, 1198]",,right,,leopard,rare
2673,2f19ecbf-5bea-470e-896d-86bc03702252,leopard.coco/images/train2022/000000002663.jpg,"[0, 832, 1086, 626]",,right,,leopard,rare
2743,2f19ecbf-5bea-470e-896d-86bc03702252,leopard.coco/images/train2022/000000002733.jpg,"[0, 577, 525, 462]",,right,,leopard,rare
1453,d01218f6-d32d-458a-8c08-6aca4c069869,leopard.coco/images/train2022/000000001452.jpg,"[25, 71, 2258, 1852]",,front,,leopard,rare
1456,d01218f6-d32d-458a-8c08-6aca4c069869,leopard.coco/images/train2022/000000001455.jpg,"[0, 358, 2400, 1442]",,right,,leopard,rare
6127,3737de68-0b0a-44bd-b108-45737956d45a,leopard.coco/images/train2022/000000006113.jpg,"[0, 104, 2400, 1816]",,front,,leopard,rare
6355,3737de68-0b0a-44bd-b108-45737956d45a,leopard.coco/images/train2022/000000006340.jpg,"[64, 146, 1785, 1775]",,front,,leopard,rare
6113,9354aeb2-adb2-4470-ba31-ee4cbbc97ef2,leopard.coco/images/train2022/000000006099.jpg,"[0, 0, 2359, 1922]",,front,,leopard,rare
6182,9354aeb2-adb2-4470-ba31-ee4cbbc97ef2,leopard.coco/images/train2022/000000006168.jpg,"[655, 24, 1745, 1903]",,left,,leopard,rare
6130,3de10760-2a56-4499-92f9-003673aa62b2,leopard.coco/images/train2022/000000006116.jpg,"[0, 139, 2155, 1781]",,front,,leopard,rare
6249,3de10760-2a56-4499-92f9-003673aa62b2,leopard.coco/images/train2022/000000006235.jpg,"[68, 316, 2303, 859]",,left,,leopard,rare
2501,ff88f9ab-31ce-4eba-a0d7-580320c62580,leopard.coco/images/train2022/000000002493.jpg,"[126, 225, 1909, 1077]",,right,,leopard,rare
2504,ff88f9ab-31ce-4eba-a0d7-580320c62580,leopard.coco/images/train2022/000000002496.jpg,"[98, 175, 1848, 965]",,right,,leopard,rare
3508,4959533c-be2b-418f-8510-92fd01c92358,leopard.coco/images/train2022/000000003496.jpg,"[1838, 488, 560, 859]",,left,,leopard,rare
3511,4959533c-be2b-418f-8510-92fd01c92358,leopard.coco/images/train2022/000000003499.jpg,"[1824, 694, 572, 605]",,left,,leopard,rare
6038,8f083705-655b-4a17-a983-a0742d75dcb0,leopard.coco/images/train2022/000000006024.jpg,"[44, 214, 1878, 2186]",,front,,leopard,rare
6335,8f083705-655b-4a17-a983-a0742d75dcb0,leopard.coco/images/train2022/000000006321.jpg,"[5, 46, 1786, 2282]",,front,,leopard,rare
6502,c295572c-78f0-4b3e-bd73-3f6880e1324f,leopard.coco/images/train2022/000000006487.jpg,"[0, 144, 2328, 2102]",,right,,leopard,rare
6542,c295572c-78f0-4b3e-bd73-3f6880e1324f,leopard.coco/images/train2022/000000006527.jpg,"[0, 11, 2352, 1449]",,left,,leopard,rare
2564,efa2cf9b-bc5d-4ba3-b291-85cfe759726c,leopard.coco/images/train2022/000000002555.jpg,"[518, 1116, 1405, 643]",,left,,leopard,rare
2567,efa2cf9b-bc5d-4ba3-b291-85cfe759726c,leopard.coco/images/train2022/000000002558.jpg,"[407, 144, 1993, 1588]",,front,,leopard,rare
6104,5f7ddd9d-c995-4e52-b3f2-2bd2a4ef553e,leopard.coco/images/train2022/000000006090.jpg,"[41, 70, 2278, 1370]",,right,,leopard,rare
6320,5f7ddd9d-c995-4e52-b3f2-2bd2a4ef553e,leopard.coco/images/train2022/000000006306.jpg,"[104, 18, 2117, 1383]",,left,,leopard,rare
2646,0f38564b-babb-43bd-b8e1-3f653ec442bb,leopard.coco/images/train2022/000000002636.jpg,"[301, 771, 1148, 549]",,left,,leopard,common
2638,0f38564b-babb-43bd-b8e1-3f653ec442bb,leopard.coco/images/train2022/000000002629.jpg,"[777, 883, 900, 448]",,left,,leopard,common
2655,0f38564b-babb-43bd-b8e1-3f653ec442bb,leopard.coco/images/train2022/000000002645.jpg,"[486, 924, 826, 410]",,right,,leopard,common
2656,0f38564b-babb-43bd-b8e1-3f653ec442bb,leopard.coco/images/train2022/000000002646.jpg,"[1575, 761, 825, 584]",,left,,leopard,common
2640,0f38564b-babb-43bd-b8e1-3f653ec442bb,leopard.coco/images/train2022/000000002631.jpg,"[315, 1033, 1196, 497]",,,,leopard,common
2639,0f38564b-babb-43bd-b8e1-3f653ec442bb,leopard.coco/images/train2022/000000002630.jpg,"[2111, 728, 281, 594]",,,,leopard,common
2650,0f38564b-babb-43bd-b8e1-3f653ec442bb,leopard.coco/images/train2022/000000002640.jpg,"[840, 773, 1180, 544]",,right,,leopard,common
2645,0f38564b-babb-43bd-b8e1-3f653ec442bb,leopard.coco/images/train2022/000000002635.jpg,"[1586, 770, 814, 595]",,left,,leopard,common
5913,c9f40dfb-0a95-4038-a148-d4ba180b91e2,leopard.coco/images/train2022/000000005900.jpg,"[17, 524, 1029, 651]",,right,,leopard,abundant
4848,c9f40dfb-0a95-4038-a148-d4ba180b91e2,leopard.coco/images/train2022/000000004835.jpg,"[196, 510, 1380, 795]",,right,,leopard,abundant
5945,c9f40dfb-0a95-4038-a148-d4ba180b91e2,leopard.coco/images/train2022/000000005932.jpg,"[1710, 1245, 690, 479]",,left,,leopard,abundant
4255,c9f40dfb-0a95-4038-a148-d4ba180b91e2,leopard.coco/images/train2022/000000004243.jpg,"[1546, 1128, 786, 511]",,right,,leopard,abundant
5932,c9f40dfb-0a95-4038-a148-d4ba180b91e2,leopard.coco/images/train2022/000000005919.jpg,"[398, 787, 1153, 598]",,left,,leopard,abundant
5934,c9f40dfb-0a95-4038-a148-d4ba180b91e2,leopard.coco/images/train2022/000000005921.jpg,"[1931, 529, 449, 651]",,left,,leopard,abundant
5915,c9f40dfb-0a95-4038-a148-d4ba180b91e2,leopard.coco/images/train2022/000000005902.jpg,"[582, 606, 1178, 711]",,right,,leopard,abundant
4865,c9f40dfb-0a95-4038-a148-d4ba180b91e2,leopard.coco/images/train2022/000000004852.jpg,"[192, 516, 1419, 778]",,right,,leopard,abundant
4107,c9f40dfb-0a95-4038-a148-d4ba180b91e2,leopard.coco/images/train2022/000000004095.jpg,"[618, 753, 417, 233]",,right,,leopard,abundant
3931,c9f40dfb-0a95-4038-a148-d4ba180b91e2,leopard.coco/images/train2022/000000003919.jpg,"[777, 724, 581, 391]",,left,,leopard,abundant
