image_id,identity,path,bbox,date,orientation,segmentation,species,rarity_class
5989,9fe80e80-aa35-43e2-96c7-74335517fb74,leopard.coco/images/train2022/000000005975.jpg,"[80, 5, 2320, 1916]",,front,,leopard,rare
6207,9fe80e80-aa35-43e2-96c7-74335517fb74,leopard.coco/images/train2022/000000006193.jpg,"[14, 279, 2328, 927]",,right,,leopard,rare
6358,14a1f572-2a8a-4f98-b740-0d6fb9b458e6,leopard.coco/images/train2022/000000006343.jpg,"[0, 140, 2329, 1059]",,right,,leopard,rare
6397,14a1f572-2a8a-4f98-b740-0d6fb9b458e6,leopard.coco/images/train2022/000000006382.jpg,"[542, 623, 1077, 1290]",,front,,leopard,rare
3099,fb1ee710-dcba-4201-b8b1-4fa5412ad5ad,leopard.coco/images/train2022/000000003087.jpg,"[0, 635, 466, 564]",,front,,leopard,rare
3105,fb1ee710-dcba-4201-b8b1-4fa5412ad5ad,leopard.coco/images/train2022/000000003093.jpg,"[1614, 870, 786, 939]",,front,,leopard,rare
6012,809104ee-efb2-4e01-93b5-368340f145e8,leopard.coco/images/train2022/000000005998.jpg,"[31, 143, 2215, 1775]",,right,,leopard,rare
6220,809104ee-efb2-4e01-93b5-368340f145e8,leopard.coco/images/train2022/000000006206.jpg,"[368, 116, 2032, 1323]",,down,,leopard,rare
2660,2f19ecbf-5bea-470e-896d-86bc03702252,leopard.coco/images/train2022/000000002650.jpg,"[1077, 559, 1323, 596]",,left,,leopard,rare
2742,2f19ecbf-5bea-470e-896d-86bc03702252,leopard.coco/images/train2022/000000002732.jpg,"[1685, 699, 715, 802]",,left,,leopard,rare
1452,d01218f6-d32d-458a-8c08-6aca4c069869,leopard.coco/images/train2022/000000001451.jpg,"[0, 48, 2400, 1874]",,right,,leopard,rare
1455,d01218f6-d32d-458a-8c08-6aca4c069869,leopard.coco/images/train2022/000000001454.jpg,"[153, 153, 2223, 1274]",,left,,leopard,rare
6116,3737de68-0b0a-44bd-b108-45737956d45a,leopard.coco/images/train2022/000000006102.jpg,"[0, 115, 2400, 1303]",,right,,leopard,rare
